latitude,longitude,Name
44.6531452,-63.5877963,north end
44.661329,-63.633025,fairview
44.6589432,-63.6353532,fairview
44.6734236,-63.5666655,dartmouth
44.7886362,-63.6014701,waverley
44.6463038,-63.5718496,downtown
44.6536965,-63.5927276,north end
44.6536965,-63.5927276,north end
44.6683948,-63.5380611,dartmouth
44.6669598,-63.5675845,downtown dartmouth
44.7011505,-63.6828967,larry uteck
44.6695699,-63.5649974,downtown dartmouth
44.738297,-63.6589005,bedford
44.6526068,-63.6156268,west end
44.6726008,-63.6066368,north end
44.6686727,-63.5628268,downtown dartmouth
44.6686727,-63.5628268,downtown dartmouth
44.6754527,-63.5636548,dartmouth
44.6572751,-63.587674,north end
44.6456022,-63.5917775,west end
44.6610723,-63.6330849,fairview
,,bedford
44.6514038,-63.5953772,central halifax
,,south end
44.7197995,-63.7028611,bedford
44.6624104,-63.638178,fairview
44.645241,-63.6009181,west end
44.6955866,-63.688949,larry uteck
44.653693,-63.5873129,north end
44.6521908,-63.5957701,north end
